127.0.0.1 - - [16/Apr/2013:21:49:36 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:49:51 +0530] "GET /cmc/ HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:49:51 +0530] "GET /cmc/stylesheets/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:49:51 +0530] "GET /cmc/images/top_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:49:51 +0530] "GET /cmc/images/chess-pieces.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:49:51 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:50:05 +0530] "POST /cmc/verify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:50:05 +0530] "GET /cmc/index.jsp HTTP/1.1" 200 6947
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:50:05 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:50:07 +0530] "GET /cmc/game_play.jsp HTTP/1.1" 200 5338
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:50:07 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:50:10 +0530] "GET /cmc/my_games.jsp HTTP/1.1" 200 5674
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:50:10 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:56 +0530] "GET /cmc/my_games.jsp HTTP/1.1" 200 5674
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:56 +0530] "GET /cmc/stylesheets/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:56 +0530] "GET /cmc/stylesheets/reset-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:57 +0530] "GET /cmc/images/top_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:57 +0530] "GET /cmc/images/logo_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:57 +0530] "GET /cmc/images/footer_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:57 +0530] "GET /cmc/images/logo_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:57 +0530] "GET /cmc/images/chess-pieces.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:57 +0530] "GET /cmc/images/h3_bg_tall.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:51:57 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:05 +0530] "GET /cmc/my_games.jsp HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:05 +0530] "GET /cmc/stylesheets/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:05 +0530] "GET /cmc/images/chess-pieces.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:05 +0530] "GET /cmc/images/top_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:05 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:13 +0530] "POST /cmc/verify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:14 +0530] "GET /cmc/index.jsp HTTP/1.1" 200 6974
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:16 +0530] "GET /cmc/game_play.jsp HTTP/1.1" 200 5344
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:18 +0530] "GET /cmc/my_games.jsp HTTP/1.1" 200 8708
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:24 +0530] "GET /cmc/game.jsp?game_id=39 HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:24 +0530] "GET /cmc/stylesheets/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:24 +0530] "GET /cmc/javascript/game.js HTTP/1.1" 200 20228
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:24 +0530] "GET /cmc/javascript/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:25 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:30 +0530] "GET /cmc/game.jsp?game_id=39 HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:30 +0530] "GET /cmc/stylesheets/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:30 +0530] "GET /cmc/javascript/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:30 +0530] "GET /cmc/javascript/game.js HTTP/1.1" 200 20228
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:52:32 +0530] "POST /cmc/CheckForMove HTTP/1.1" 500 1371
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/game.jsp?game_id=39 HTTP/1.1" 200 10669
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/stylesheets/blue.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/stylesheets/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/javascript/chess.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/javascript/chess.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/javascript/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/stylesheets/reset-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/javascript/game.js HTTP/1.1" 200 20230
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/chess-pieces.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/top_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/logo_bg.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/logo_right.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /cmc/images/footer_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Apr/2013:21:53:16 +0530] "GET /favicon.ico HTTP/1.1" 404 973
